name,artists,duration_ms
Love Is Gone - Acoustic,"['SLANDER', 'Dylan Matthew']",176972
The Scientist,['Coldplay'],309600
XO Tour Llif3,['Lil Uzi Vert'],182707
"Hey, Soul Sister",['Train'],216773
Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo,"['Os Barões Da Pisadinha', 'Jorge']",147876
changes,['XXXTENTACION'],121887
Fuck Love (feat. Trippie Redd),"['XXXTENTACION', 'Trippie Redd']",146520
Runaway,['AURORA'],248827
Mala Costumbre,"['Manuel Turizo', 'Wisin & Yandel']",230728
Up,['Cardi B'],156945
You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),"['Taylor Swift', 'Maren Morris']",220839
Unstable (feat. The Kid LAROI),"['Justin Bieber', 'The Kid LAROI']",158324
As I Am (feat. Khalid),"['Justin Bieber', 'Khalid']",174406
Ropa Cara,['Camilo'],163320
Wellerman - Sea Shanty,['Nathan Evans'],155333
EL MAKINON,"['KAROL G', 'Mariah Angeliq']",209160
M4,"['Teto', 'Matuê']",170000
Latest Trends,['A1 x J1'],158118
That's What I Like,['Bruno Mars'],206693
Agua de Jamaica,['Maluma'],176970
Paradigmas,['Jorge & Mateus'],157355
Hotel California - 2013 Remaster,['Eagles'],391376
Burning Pile,['Mother Mother'],262173
I Like Me Better,['Lauv'],197437
Sign of the Times,['Harry Styles'],340707
High Hopes,['Panic! At The Disco'],190947
Bad Boy (with Young Thug),"['Juice WRLD', 'Young Thug']",157355
Whoopty,['CJ'],123263
Beat Box 3 (feat. DaBaby),"['SpotemGottem', 'DaBaby']",200424
Troca de Calçada,['Marília Mendonça'],203158
Tu Veneno,['J Balvin'],157320
Better Now,['Post Malone'],231267
2002,['Anne-Marie'],186987
God's Plan,['Drake'],198973
Off My Face,['Justin Bieber'],156468
Bohemian Rhapsody - Remastered 2011,['Queen'],354320
Acaso,['Vitor Fernandes'],200891
Dynamite,['BTS'],199054
Arcade,['Duncan Laurence'],185147
Lasting Lover,"['Sigala', 'James Arthur']",218359
"La Curiosidad (feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi) - Blue Grand Prix Remix","['Jay Wheeler', 'Myke Towers', 'Rauw Alejandro', 'DJ Nelson', 'Jhay Cortez', 'Lunay', 'Kendo Kaponi']",382555
Cry Baby (feat. DaBaby),"['Megan Thee Stallion', 'DaBaby']",137984
ROLLIN N CONTROLLIN FREESTYLE,['DUSTY LOCANE'],191209
Rain On Me (with Ariana Grande),"['Lady Gaga', 'Ariana Grande']",182200
"Ay, DiOs Mío!",['KAROL G'],189653
Chicago Freestyle (feat. Giveon),"['Drake', 'Giveon']",220488
The Woo (feat. 50 Cent & Roddy Ricch),"['Pop Smoke', '50 Cent', 'Roddy Ricch']",201600
cardigan,['Taylor Swift'],239560
Blueberry Faygo,['Lil Mosey'],162547
CÓMO SE SIENTE - Remix,"['Jhay Cortez', 'Bad Bunny']",227520
Último Beijo,"['Bruno & Marrone', 'Wesley Safadão']",181279
"3G (feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers) - Remix","['Wisin', 'Yandel', 'Farruko', 'Jon Z', 'Don Chezina', 'Chencho Corleone', 'Myke Towers']",366613
Hawái - Remix,"['Maluma', 'The Weeknd']",200482
Tattoo - Remix with Camilo,"['Rauw Alejandro', 'Camilo']",222680
Murder On My Mind,['YNW Melly'],268434
Lovefool,['twocolors'],190488
Bruises,['Lewis Capaldi'],220492
Bad Romance,['Lady Gaga'],294573
Losing My Religion,['R.E.M.'],268427
E-GIRLS ARE RUINING MY LIFE!,"['CORPSE', 'Savage Ga$p']",105176
i love you,['Billie Eilish'],291796
Big Gangsta,['Kevin Gates'],243463
I Don't Care (with Justin Bieber),"['Ed Sheeran', 'Justin Bieber']",219947
Pop Out (feat. Lil Tjay),"['Polo G', 'Lil Tjay']",166560
Bandit (with YoungBoy Never Broke Again),"['Juice WRLD', 'YoungBoy Never Broke Again']",189323
Before You Go,['Lewis Capaldi'],215107
Ballin' (with Roddy Ricch),"['Mustard', 'Roddy Ricch']",180435
No Guidance (feat. Drake),"['Chris Brown', 'Drake']",260640
Still Don't Know My Name,['Labrinth'],153294
To the Bone,['Pamungkas'],344571
Safaera,"['Bad Bunny', 'Jowell & Randy', 'Ñengo Flow']",295177
Old Town Road - Remix,"['Lil Nas X', 'Billy Ray Cyrus']",157067
Wow.,['Post Malone'],149547
Ransom,['Lil Tecca'],131240
Smells Like Teen Spirit,['Nirvana'],301920
See You Again (feat. Charlie Puth),"['Wiz Khalifa', 'Charlie Puth']",229526
All We Got (feat. KIDDO),"['Robin Schulz', 'KIDDO']",190218
WHATS POPPIN,['Jack Harlow'],139741
Runnin,"['21 Savage', 'Metro Boomin']",195906
"Nathy Peluso: Bzrp Music Sessions, Vol. 36","['Bizarrap', 'Nathy Peluso']",171215
Tick Tock (feat. 24kGoldn),"['Clean Bandit', 'Mabel', '24kGoldn']",178374
No Idea,['Don Toliver'],154424
Amor da Despedida,"['Os Barões Da Pisadinha', 'Fernando & Sorocaba']",169773
Heat Waves,['Glass Animals'],238805
Mr Loverman,['Ricky Montgomery'],216880
AP - Music from the film Boogie,['Pop Smoke'],171892
Here Comes The Sun - Remastered 2009,['The Beatles'],185733
How to Save a Life,['The Fray'],262533
Another Love,['Tom Odell'],244360
Happier,['Ed Sheeran'],207520
There's Nothing Holdin' Me Back,['Shawn Mendes'],199440
Treat You Better,['Shawn Mendes'],187973
HUMBLE.,['Kendrick Lamar'],177000
Look At Me!,['XXXTENTACION'],126346
TiK ToK,['Kesha'],199693
Love The Way You Lie,"['Eminem', 'Rihanna']",263373
Let You Down,['NF'],212120
Hold On,['Chord Overstreet'],198853
20 Min,['Lil Uzi Vert'],220587
X Gon' Give It To Ya,['DMX'],217587
Fortunate Son,['Creedence Clearwater Revival'],140773
One Dance,"['Drake', 'WizKid', 'Kyla']",173987
Creep,['Radiohead'],238640
Just Give Me a Reason (feat. Nate Ruess),"['P!nk', 'Nate Ruess']",242733
Payphone,"['Maroon 5', 'Wiz Khalifa']",231173
Dead Man Walking,['Brent Faiyaz'],247080
the remedy for a broken heart (why am I so in love),['XXXTENTACION'],160184
You Are The Reason,['Calum Scott'],204326
Call Out My Name,['The Weeknd'],228373
Falling Down - Bonus Track,"['Lil Peep', 'XXXTENTACION']",196400
Without Me,['Halsey'],201661
Dancing On My Own,['Calum Scott'],260285
I Like It,"['Cardi B', 'Bad Bunny', 'J Balvin']",253390
The Middle,"['Zedd', 'Maren Morris', 'Grey']",184732
Copines,['Aya Nakamura'],171720
Fix You,['Coldplay'],295533
Feel Good Inc.,['Gorillaz'],222640
Ric Flair Drip (& Metro Boomin),"['Offset', 'Metro Boomin']",172800
Thunderstruck,['AC/DC'],292880
Congratulations,"['Post Malone', 'Quavo']",220293
One Kiss (with Dua Lipa),"['Calvin Harris', 'Dua Lipa']",214847
Heathens,['Twenty One Pilots'],195920
Lifestyle (feat. Adam Levine),"['Jason Derulo', 'Adam Levine', 'Maroon 5']",153865
Holy (feat. Chance The Rapper),"['Justin Bieber', 'Chance the Rapper']",212093
I'm Still Standing,['Elton John'],183440
Sweet Dreams (Are Made of This) - Remastered,"['Eurythmics', 'Annie Lennox', 'Dave Stewart']",216933
Ghost,['Justin Bieber'],153190
Opp Stoppa (feat. 21 Savage),"['YBN Nahmir', '21 Savage']",135431
FALA MAL DE MIM,"['PEDRO SAMPAIO', 'Daniel Caon', 'Wesley Safadão']",154182
Deixa de Onda (Porra Nenhuma),"['DENNIS', 'Xamã', 'LUDMILLA']",185000
I Wanna Dance with Somebody (Who Loves Me),['Whitney Houston'],291293
Just the Way You Are,['Bruno Mars'],220733
Talking to the Moon,['Bruno Mars'],217867
Gone,['ROSÉ'],207164
Toxic,['Britney Spears'],198800
Numb,['Linkin Park'],185587
Umbrella,"['Rihanna', 'JAY-Z']",275987
Stay With Me,['Sam Smith'],172724
Summer,['Calvin Harris'],222533
Yeah! (feat. Lil Jon & Ludacris),"['Usher', 'Lil Jon', 'Ludacris']",250373
Night Changes,['One Direction'],226600
I'm Yours,['Jason Mraz'],242187
Sweet Home Alabama,['Lynyrd Skynyrd'],283800
Tongue Tied,['Grouplove'],218013
Summer Of '69,['Bryan Adams'],216053
Gangsta's Paradise,"['Coolio', 'L.V.']",240693
Uptown Funk (feat. Bruno Mars),"['Mark Ronson', 'Bruno Mars']",269667
Mds,"['Kawe', 'Mc Lele JP']",125143
I Fall Apart,['Post Malone'],223347
Another One Bites The Dust - Remastered 2011,['Queen'],214653
Jerusalema (feat. Nomcebo Zikode),"['Master KG', 'Nomcebo Zikode']",342613
Yo Perreo Sola,['Bad Bunny'],172127
You’re Mines Still (feat. Drake),"['Yung Bleu', 'Drake']",226220
En Tu Cuerpo - Remix,"['Lyanno', 'Rauw Alejandro', 'Lenny Tavárez', 'Maria Becerra']",310860
Glad You Exist,['Dan + Shay'],144533
Element,['Pop Smoke'],135747
Young Dumb & Broke,['Khalid'],202547
Sweet Child O' Mine,"[""Guns N' Roses""]",354520
Floating Through Space,"['Sia', 'David Guetta']",177801
Sugar,['Maroon 5'],235493
Shut Up and Dance,['WALK THE MOON'],199080
See You Again (feat. Kali Uchis),"['Tyler, The Creator', 'Kali Uchis']",180387
Mask Off,['Future'],204600
Don't Stop Me Now - Remastered 2011,['Queen'],209413
motive (with Doja Cat),"['Ariana Grande', 'Doja Cat']",167990
Time of Our Lives,"['Pitbull', 'Ne-Yo']",229360
Am,"['Nio Garcia', 'Flow La Movie']",182496
Christian Dior,['Jhay Cortez'],147120
Demons,['Imagine Dragons'],177507
What A Man Gotta Do,['Jonas Brothers'],180645
Dangerous,"['Kardinal Offishall', 'Akon']",246053
IDK You Yet,['Alexander 23'],184638
Unforgettable,"['French Montana', 'Swae Lee']",233902
Californication,['Red Hot Chili Peppers'],329733
Deep End,['Fousheé'],141224
Promiscuous,"['Nelly Furtado', 'Timbaland']",242293
Reminds Me Of You,"['Juice WRLD', 'The Kid LAROI']",158033
Aloha,"['Maluma', 'Beéle', 'Rauw Alejandro', 'Mambo Kingz', 'DJ Luian', 'Darell']",241659
Tyler Herro,['Jack Harlow'],156498
Don't Stop Believin',['Journey'],250987
Shy Away,['Twenty One Pilots'],175044
2 Much,['Justin Bieber'],152796
DAYWALKER! (feat. CORPSE),"['Machine Gun Kelly', 'CORPSE']",137747
Deserve You,['Justin Bieber'],187239
I'm Not The Only One,['Sam Smith'],239317
Sex on Fire,['Kings of Leon'],203347
Mr. Blue Sky,['Electric Light Orchestra'],303373
CHICKEN TENDIES,['Clinton Kane'],196844
In My Mind,"['Dynoro', ""Gigi D'Agostino""]",184560
ocean eyes,['Billie Eilish'],200379
Dusk Till Dawn - Radio Edit,"['ZAYN', 'Sia']",239000
Silence,"['Marshmello', 'Khalid']",180823
Mirrors,['Justin Timberlake'],484147
Safe And Sound,['Capital Cities'],192790
FRIENDS,"['Marshmello', 'Anne-Marie']",202621
Natural,['Imagine Dragons'],189467
Blood // Water,['grandson'],216721
comethru,['Jeremy Zucker'],181613
Last Resort,['Papa Roach'],199907
Hey There Delilah,"[""Plain White T's""]",232533
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)","['Pitbull', 'Ne-Yo', 'Afrojack', 'Nayer']",252307
New Rules,['Dua Lipa'],209320
Shower,['Becky G'],206167
Going Bad (feat. Drake),"['Meek Mill', 'Drake']",180522
Let Me Love You,"['DJ Snake', 'Justin Bieber']",205947
怪物,['YOASOBI'],206000
Bubblegum Bitch,['MARINA'],154667
Skin,['Sabrina Carpenter'],177500
Angels Like You,['Miley Cyrus'],196453
Patience (feat. YUNGBLUD & Polo G),"['KSI', 'YUNGBLUD', 'Polo G']",181720
Rise Up (feat. Vamero),"['VINAI', 'VAMERO']",182000
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix","['Ariana Grande', 'Doja Cat', 'Megan Thee Stallion']",182438
